"NIF/NIE","NIF/NIE"
"Male","Male"
"Female","Female"
"You must be +18 yo.","You must be +18 yo."
"Please input a valid spanish ID CIF/NIF/NIE.","Please input a valid spanish ID CIF/NIF/NIE."
"Please input a valid spanish company CIF.","Please input a valid spanish company CIF."
"Please input a valid spanish NIF/NIE.","Please input a valid spanish NIF/NIE."
"You have read and accepted our <a href=""%s"">Privacy Policy</a>","You have read and accepted our <a href=""%s"">Privacy Policy</a>"
"Company","Company"
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href="%s">click here</a>","Se requiere confirmación de su cuenta. Por favor, verifique su correo electrónico donde habrá recibido el enlace de confirmación. Para volver a enviar el correo de confirmación por favor <a href="%s">clique aquí</a>"
